GeneID,Log2FC,P_val,P_val_adj,Cluster,point_type
P10599_TXN,2.18592138981539,0.0023620352385527,0.00812483205550356,03_Esophageal,2_right_sig
P10643_C7,1.43868559858126,3.45510050411369e-09,5.80253643484975e-08,03_Esophageal,2_right_sig
P10720_PF4V1,0.556499290832903,0.256213211312872,0.369438746615277,03_Esophageal,0_no_sig
P10809_HSPD1,0.613483288108544,0.319115420200426,0.438885009125583,03_Esophageal,0_no_sig
P10909_CLU,-0.3768088376933,0.100673537833192,0.179639344071102,03_Esophageal,0_no_sig
P11021_HSPA5,0.136918193222128,0.604838200476323,0.689346531880201,03_Esophageal,0_no_sig
P11142_HSPA8,1.44936619616922,0.00480798362598926,0.0146810623018175,03_Esophageal,2_right_sig
P11226_MBL2,1.81356390034406,2.88511177271502e-09,4.99211764309174e-08,03_Esophageal,2_right_sig
P11597_CETP,0.0965281649050382,0.573115612386613,0.664056109480918,03_Esophageal,0_no_sig
P12111_COL6A3,0.519112640387505,0.015536493808878,0.0379117007045697,03_Esophageal,0_no_sig
P12259_F5,0.632996441371104,4.50648291423785e-05,0.000279695841742371,03_Esophageal,0_no_sig
P12270_TPR,1.87156444715706,0.0217775367023719,0.0505486725896518,03_Esophageal,0_no_sig
P12814_ACTN1,1.4722612563686,0.0937998826196711,0.169492825872887,03_Esophageal,0_no_sig
P12882_MYH1,-0.37496426726894,0.317896242406758,0.438451097618982,03_Esophageal,0_no_sig
P13010_XRCC5,1.18991588772599,0.0385797340729239,0.080989074101616,03_Esophageal,0_no_sig
P13639_EEF2,0.405776978469696,0.479323409796321,0.592410534618397,03_Esophageal,0_no_sig
P13645_KRT10,-0.902423761088928,0.00782201122807682,0.0215432403522785,03_Esophageal,0_no_sig
P13647_KRT5,-0.498997559949228,0.299774750681567,0.418240150665111,03_Esophageal,0_no_sig
P13667_PDIA4,1.68532196314146,0.0607118961222595,0.118720865362364,03_Esophageal,0_no_sig
P13671_C6,0.0802157627380886,0.614996741043897,0.695296741905292,03_Esophageal,0_no_sig
P13796_LCP1,0.756160368571232,0.0478100908407442,0.0985543749821839,03_Esophageal,0_no_sig
P13797_PLS3,-0.514831227493653,0.436901259407411,0.550707768480423,03_Esophageal,0_no_sig
P13929_ENO3,0.702283804719942,0.125451256288622,0.208739501577401,03_Esophageal,0_no_sig
P14151_SELL,-1.62382347896206,0.000761324328627802,0.00303997336815717,03_Esophageal,1_left_sig
P14618_PKM,0.593683418335424,0.00706966121017202,0.0198855987734395,03_Esophageal,0_no_sig
P14625_HSP90B1,0.222926717440664,0.566441787023807,0.660078082429783,03_Esophageal,0_no_sig
P14678_SNRPB,0.418147175321186,0.450079698556415,0.564825292034534,03_Esophageal,0_no_sig
P15144_ANPEP,0.35294037688579,0.516580782543573,0.627590695388043,03_Esophageal,0_no_sig
P15169_CPN1,0.605550327848034,0.00386630658865755,0.0121970224426711,03_Esophageal,0_no_sig
P15814_IGLL1,0.512541774570728,0.00678693385210934,0.019474066480173,03_Esophageal,0_no_sig
P15880_RPS2,0.779973522046761,0.422859131207881,0.537756267081738,03_Esophageal,0_no_sig
P15924_DSP,1.01400507571304,0.301907161873072,0.41943793048546,03_Esophageal,0_no_sig
P16070_CD44,-1.00822086529887,0.0122356695101139,0.0314218811063687,03_Esophageal,1_left_sig
P16403_HIST1H1C,6.86457614573919,0.000511219630980796,0.0021947850322559,03_Esophageal,2_right_sig
P17936_IGFBP3,-0.843927106499727,0.00311494293280508,0.00999231693613317,03_Esophageal,0_no_sig
P18065_IGFBP2,0.639154767976242,0.0670544384357596,0.129790116429894,03_Esophageal,0_no_sig
P18428_LBP,1.54743382167836,3.18621177944394e-10,7.58052885859371e-09,03_Esophageal,2_right_sig
P19320_VCAM1,-0.276854914647966,0.575834325872412,0.665073559531848,03_Esophageal,0_no_sig
P19338_NCL,1.24939973167884,0.339754814581652,0.459715637739629,03_Esophageal,0_no_sig
P19652_ORM2,-0.984914151519195,0.000491711198565659,0.00217648910372861,03_Esophageal,0_no_sig
P19823_ITIH2,-0.476087518592532,0.00356408703061422,0.0113060760804485,03_Esophageal,0_no_sig
P19827_ITIH1,-0.679616599721967,0.000416733727400876,0.00185902311207735,03_Esophageal,0_no_sig
P20742_PZP,-0.271340351606613,0.381903591359495,0.496735650720437,03_Esophageal,0_no_sig
P20851_C4BPB,1.98332389430172,3.29911067389719e-12,1.25586146319687e-10,03_Esophageal,2_right_sig
P21333_FLNA,-3.45326162672412,0.00222803988391529,0.00792205461771117,03_Esophageal,1_left_sig
P21796_VDAC1,1.00457990529206,0.194399364782658,0.296796891152134,03_Esophageal,0_no_sig
P22352_GPX3,-0.644444229754935,0.00208813586141785,0.00749890299917981,03_Esophageal,0_no_sig
P22626_HNRNPA2B1,-0.621006219935282,0.389983745808826,0.503802531350316,03_Esophageal,0_no_sig
P22792_CPN2,0.485315384436984,0.00722607812371184,0.0202259343560758,03_Esophageal,0_no_sig
P22891_PROZ,-1.21595395163635,4.48324771078767e-05,0.000279695841742371,03_Esophageal,1_left_sig
P23083_IGHV1-2,0.981196766073669,0.00012329578186601,0.000670494204242777,03_Esophageal,0_no_sig
P23142_FBLN1,1.04289147594338,8.18650468547296e-06,6.15065023079614e-05,03_Esophageal,2_right_sig
P23284_PPIB,1.62190045061355,0.00257036361085817,0.0087361763202382,03_Esophageal,2_right_sig
P23396_RPS3,0.813668463606364,0.234124600485905,0.347234147733641,03_Esophageal,0_no_sig
P23528_CFL1,0.235855758500636,0.538282110701935,0.641668236348236,03_Esophageal,0_no_sig
P25311_AZGP1,-3.62283212937388,7.344441974482e-11,1.99698874639487e-09,03_Esophageal,1_left_sig
P25398_RPS12,0.598562039404344,0.0691835055441528,0.133009365877816,03_Esophageal,0_no_sig
P25705_ATP5F1A,0.214461737947783,0.801943272905315,0.857508630765795,03_Esophageal,0_no_sig
P26038_MSN,1.36451629313572,0.0716238306028085,0.135421216139747,03_Esophageal,0_no_sig
P26447_S100A4,1.80456043097372,9.26124023227488e-06,6.77970278542174e-05,03_Esophageal,2_right_sig
P26599_PTBP1,-0.0446725235528653,0.925244263987993,0.945106394878612,03_Esophageal,0_no_sig
P26641_EEF1G,-2.2286925944998,0.18886544391708,0.28912109511167,03_Esophageal,0_no_sig
P26927_MST1,0.418269948106889,0.0227594549868092,0.0524018096672098,03_Esophageal,0_no_sig
P27169_PON1,-1.0526749615651,3.86271522575479e-10,8.4831168996384e-09,03_Esophageal,1_left_sig
P27797_CALR,0.218684846555192,0.6196379217116,0.697856515379336,03_Esophageal,0_no_sig
P27824_CANX,-0.17790934929454,0.833543320089417,0.884671441953638,03_Esophageal,0_no_sig
P27918_CFP,2.46401616595745,5.05869810043739e-16,5.77703323069949e-14,03_Esophageal,2_right_sig
P28300_LOX,2.89851863806243,0.0731954106301752,0.137935905841023,03_Esophageal,0_no_sig
P29401_TKT,1.54358144896736,0.0331906216758953,0.0723352861715123,03_Esophageal,0_no_sig
P29622_SERPINA4,-0.310935074089567,0.230775218354349,0.343157941875869,03_Esophageal,0_no_sig
P30041_PRDX6,0.670547543249643,0.110050455971687,0.19042063745404,03_Esophageal,0_no_sig
P30043_BLVRB,0.759133541191128,0.0208840206326363,0.0494803974325118,03_Esophageal,0_no_sig
P30050_RPL12,-0.511020038015623,0.610333627515157,0.692843938988379,03_Esophageal,0_no_sig
P30101_PDIA3,0.320927038113007,0.477077752209179,0.591979867805576,03_Esophageal,0_no_sig
P30622_CLIP1,0.896182986866805,0.00302276277857587,0.00975139856817413,03_Esophageal,0_no_sig
P31327_CPS1,-1.80265006844725,0.00226880879018922,0.0079968507357904,03_Esophageal,1_left_sig
P31943_HNRNPH1,0.927111950183521,0.36081997249831,0.479135358829151,03_Esophageal,0_no_sig
P32119_PRDX2,0.138072517672656,0.645230149407377,0.720991028007069,03_Esophageal,0_no_sig
P33151_CDH5,0.41622205885446,0.0422867644851626,0.0881231478869629,03_Esophageal,0_no_sig
P33778_HIST1H2BB,2.71795652082452,4.86762098871365e-09,7.51192320150134e-08,03_Esophageal,2_right_sig
P33908_MAN1A1,-1.0588094859374,0.0023442876730581,0.00811265612918894,03_Esophageal,1_left_sig
P35030_PRSS3,-0.108154941150179,0.563343012903026,0.658890027517751,03_Esophageal,0_no_sig
P35237_SERPINB6,0.461230429215822,0.0491189706498443,0.0998111467653419,03_Esophageal,0_no_sig
P35241_RDX,1.04694711533638,0.184269819745298,0.282844266329476,03_Esophageal,0_no_sig
P35443_THBS4,1.22311377933304,0.00486939579722581,0.014727588485606,03_Esophageal,2_right_sig
P35527_KRT9,-1.71452598807648,2.86958287317566e-06,2.56020596966141e-05,03_Esophageal,1_left_sig
P35542_SAA4,0.742110432716981,0.00167600280699135,0.00609552613243352,03_Esophageal,0_no_sig
